Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Work on,Done,Deployed,Sample
Entity modeling,,,,,,,,,,
,LUX top-level entities,,,,,,,,,
,,Record-level entities,,,,,,,,
,,,Content and carriers,,,,,,,
,,,LUX supertype taxonomy,,,,,,,
,,,,Collections,,,,,,
,,,,,Archival and Manuscript Materials,,"Martin,Maggie Yue",10/17/21,Yes,
,,,,,Kits,,Martin,11/4/21,Yes,
,,,,Audio,,,,,,
,,,,,Music,,Martin,11/4/21,Yes,
,,,,,Sound,,Martin,11/4/21,Yes,
,,,,Cartography,,,,,,
,,,,,Atlases,,Martin,11/4/21,Yes,
,,,,,Geospatial Data,,Martin,11/4/21,Yes,https://linked-art-test.library.yale.edu/ils/bib/11909897
,,,,,Globes,,Martin,11/4/21,Yes,
,,,,,Maps,,Martin,11/10/21,Yes,
,,,,Datasets,,,,,,
,,,,,Data and Files,,Yue,11/24/21,Yes,
,,,,,,Geospatial Data,Martin,11/4/21,Yes,https://linked-art-test.library.yale.edu/ils/bib/11909897
,,,,,,Image Data,Yue,,Yes,
,,,,,,Textual Data,Martin,11/18/21,Yes,
,,,,Visual Works,,,,,,
,,,,,Collages,,Yue,11/10/21,Yes,
,,,,,Image Data,,Yue,,Yes,
,,,,,Drawings,,Yue,11/11/21,Yes,
,,,,,Maps,,Martin,11/10/21,Yes,
,,,,,Paintings,,Yue,11/11/21,Yes,
,,,,,Photographs,,Yue,11/11/21,Yes,
,,,,,Pictures,,Yue,11/11/21,Yes,
,,,,,Posters,,Yue,11/11/21,Yes,
,,,,,Prints,,Maggie,11/12/21,Yes,
,,,,,Slides,,Maggie,11/12/21,Yes,
,,,,Moving Images,,,,,,
,,,,,Motion Pictures,,Maggie,11/16/21,Yes,
,,,,Scores and Notation,,,,,,
,,,,,Notated Movement,,Yue,11/16/21,Yes,
,,,,,Notated Music,,Yue,11/16/21,Yes,
,,,,Objects,,,,,,
,,,,,Globes,,Martin,11/4/21,Yes,
,,,,,Models,,Yue,11/16/21,Yes,
,,,,,Realia,,Yue,11/16/21,Yes,
,,,,,Toys and Games,,Yue,11/16/21,Yes,
,,,,Software and Electronic Media,,,,,,
,,,,,Software Applications,,Maggie,11/16/21,Yes,
,,,,,Databases,,Maggie,11/16/21,Yes,
,,,,Textual Works,,,,,,
,,,,,Books,,Maggie,11/16/21,Yes,
,,,,,,Atlases,Martin,11/4/21,Yes,
,,,,,Broadsides,,?,,,
,,,,,Dissertations and Theses,,Yue,11/18/21,Yes,
,,,,,Journals and Periodicals,,Yue,11/18/21,Yes,
,,,,,,Newspapers,Martin,11/18/21,Yes,
,,,,,Textual Data,,Martin,11/18/21,Yes,
,,Related entities,,,,,,,,
,,,"Creators, contributors, standalone works, simple subject/genre headings, and associated places",,,,Martin,1/20/22,,https://linked-art-test.library.yale.edu/ils/bib/9564880
,,,Complex subject/genre headings and hierarchical associated places,,,,Martin,1/20/22,,https://linked-art-test.library.yale.edu/ils/bib/9564880
,,,Citation entities,,,,,,,
,,,Related title entities,,,,"Martin,Maggie Yue",11/18/21,Yes,
,,,Concepts,,,,,,,
,,,,Classification numbers,,,"Martin,Maggie Yue",12/1/21,,
,,,,Language entities,,,?,,,
,,,,Roles,,,?,,,
,,,,Subject and genre/form headings,,,Martin,,,https://linked-art-test.library.yale.edu/ils/bib/9564880
,,,Events,,,,,,,
,,,,Chronological facets,,,Maggie,,Yes,
,,,Groups,,,,,,,
,,,,Groups as agents,,,Yue,12/8/21,,
,,,,Groups as subjects,,,Martin,1/20/22,,
,,,,Entities for specific groups,,,,,,
,,,People,,,,,,,
,,,,People as agents,,,"Martin,Maggie Yue",12/8/21,,
,,,,People as subjects,,,Martin,1/20/22,,
,,,Places,,,,,,,
,,,,Top-level Place entities,,,,,,
,,,,,Place hierarchies,,Martin,1/20/22,,
,,,,,Places as agents,,,,,
,,,,,Places as subjects,,Martin,1/20/22,,
,,,,,Associated places,,Martin,1/20/22,,
,,,,,Places from fixed field 008,,Martin,1/20/22,,
,,,,,Places with geographic coordinates,,Yue,1/20/22,,
,,,Works,,,,,,,
,,,,Complex works,,,Martin,1/20/22,,https://linked-art-test.library.yale.edu/ils/bib/9564880
,,,,Works as subjects,,,Martin,1/20/22,,
,,,,,Complex works as complex subjects,,?,,,
,,,,Works in whole/part relationships,,,?,,,
,,,Sets,,,,,,,
,,,,Library locations and collections,,,Martin,1/20/22,,
Descriptive content,,,,,,,,,,
,Embedded entities,,,,,,,,,
,,Digital object link to catalog,,,,,"Martin,Maggie Yue",1/20/22,,
,,Digital object link to asset,,,,,"Martin,Maggie Yue",1/20/22,,
,,Publication activities,,,,,?,,,
,,Copyright entities,,,,,?,,,
,Identifiers,,,,,,,,,
,,Voyager BIB ID,,,,,"Martin,Maggie Yue",10/13/21,Yes,
,,Voyager MFHD ID,,,,,,,,
,,Voyager item ID,,,,,,,,
,,Library of Congress Control Number (LCCN),,,,,Maggie,10/15/21,Yes,
,,International Standard Book Number (ISBN),,,,,"Martin,Maggie Yue",10/13/21,Yes,
,,Locations and call numbers,,,,,Martin,12/14/21,,
,,International Standard Serial Number (ISSN),,,,,Yue,10/14/21,Yes,
,,Publisher or Distributor Number,,,,,Martin,10/14/21,Yes,
,,System Control Numbers (OCLC Numbers),,,,,Yue,10/15/21,Yes,
,Names and labels,,,,,,,,,
,,Names,,,,,,,,
,,,Primary name,,,,Martin,10/15/21,Yes,
,,,Sorting name,,,,Martin,10/15/21,Yes,
,,,Transcribed series title,,,,?,,,
,,,Alternative title,,,,?,,,
,,Labels,,,,,,,,
,,,Root label,,,,"Martin,Maggie Yue",11/18/21,,
,Notes and statements,,,,,,,,,
,,Abstract,,,,,"Martin,Maggie Yue",11/22/21,,
,,Table of contents,,,,,"Martin,Maggie,Yue",1/20/22,,
,,Arrangement note,,,,,Maggie,11/24/21,,
,,Attribution statement,,,,,Maggie,12/2/21,Yes,
,,Bibliography statement,,,,,Maggie,11/24/21,,
,,Biography statement,,,,,Maggie,11/24/21,,
,,Cartographic statement,,,,,Yue,11/23/21,,
,,Citation,,,,,Yue,11/29/21,,
,,Digital file note,,,,,Yue,11/29/21,,
,,Indexing statement,,,,,Yue,11/29/21,,
,,Language statement,,,,,Yue,11/29/21,,
,,Local note,,,,,Yue,2/1/22,,
,,Medium of performance,,,,,Yue,11/29/21,,
,,Note,,,,,Yue,2/1/22,,
,,Physical statement,,,,,Maggie,11/30/21,,
,,Summary holdings note,,,,,,,,
,,Supplementary material holdings note,,,,,,,,
,,Index holdings note,,,,,,,,
,,Number of parts,,,,,,,,
,,Access statement,,,,,Yue,2/1/22,,
,,Dimension statement,,,,,Maggie,11/30/21,,
,,Preferred citation note,,,,,Yue,11/30/21,,
,,Provenance statement,,,,,Yue,11/30/21,,
,,Acquisition statement,,,,,Maggie,11/29/21,,
,,Reproduction statement,,,,,Maggie,11/29/21,,
,,Production statement,,,,,"Martin,Maggie,Yue",1/20/22,,
,,Edition statement,,,,,,,,
,Dates,,,,,,,,,
,,008 dates,,,,,"Martin,Maggie",1/20/22,,
,,26X dates,,,,,Maggie,?,,